study_accession	has_paper	host_ena_referenced	host_ena_value	host_title_referenced	host_title_value	host_abstract_referenced	host_abstract_value	is_model_organism	model_organism_disease	human_by_biome_label	host_source_summary	host_source_note	sample_host_pattern	n_host_populated	biome_labels
PRJNA1215014	False	True	Sus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	24	
PRJNA1217868	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	24	pig gut metagenome
PRJNA1218713	True	True	Sus scrofa	False		True	pig	False		False	ENA + paper	Metagenomic sequencing was performed on 102 faecal samples collected from 13 diseased and 13 non-diseased pigs on two farms.	UNIFORM	172	pig gut metagenome
PRJNA1219188	True	True	Sus scrofa domestica	False		True	piglet	False		False	ENA + paper	Fecal shotgun metagenomic samples were collected from piglets on high-copper and control diets in an on-farm study.	UNIFORM	185	gut metagenome
PRJNA1222153	True	False		True	dog	True	dog	False		False	paper only	Metagenomic samples were sequenced from the gut microbiome of healthy dogs across multiple cohorts.	NO_HOST_DATA	0	
PRJNA1224791	False	True	Gallus gallus domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	97	chicken gut metagenome
PRJNA1225188	False	True	Homo sapiens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	15	feces metagenome
PRJNA1225421	True	True	Homo sapiens	True	human	True	human	False		False	ENA + paper	Metagenomic sequences came from fecal samples of 53 pregnant women and 84 children in Ecuador.	UNIFORM	210	human gut metagenome
PRJNA1226362	True	True	SPF mice BALB/c	True	mouse	True	mouse (model organism - SPF mice)	True		False	ENA + paper	[model organism, disease unnamed] Metagenomic sequencing was conducted on cecal contents from C57BL/6 and BALB/c SPF mice from five Shanghai laboratory animal facilities; these are model organisms used as preclinical models, not modeling a specific disease state.	UNIFORM	30	
PRJNA1227156	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	26	
PRJNA1227608	True	True	Mazzaella japonica	True	ruminant	True	ruminant	False		False	ENA + paper	Metagenomic samples were sequenced from ruminant gastrointestinal tract microbiomes (rumen and feces), including samples from geographically and taxonomically distinct ruminants.	DIVERSE_AND_SPARSE	47	Bacteroides xylanisolvens; Bacteroides zhangwenhongii; Candidatus Ozemibacteraceae bacterium; metagenome
PRJNA1227753	True	True	mice	True	mouse	True	mouse (model of asthma)	True	asthma	False	ENA + paper	[model of asthma] Metagenomic sequencing was performed on gut samples from ovalbumin-induced asthmatic mice treated with or without Shenling Baizhu Powder.	UNIFORM	9	mouse gut metagenome
PRJNA1228539	True	True	Trachypithecus francoisi	True	limestone forest-dwelling langur	True	François' langur (Trachypithecus francoisi)	False		False	ENA + paper	Sequenced samples came from gut microbiome of François' langurs living in limestone forests across different habitat sites.	UNIFORM	45	gut metagenome
PRJNA1228986	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	34	chicken gut metagenome
PRJNA1229795	True	True	Mus musculus	False		True	mouse (model of colitis-associated colorectal cancer)	True	colitis-associated colorectal cancer	False	ENA + paper	[model of colitis-associated colorectal cancer] Metagenomic sequencing was performed on fecal samples from AOM/DSS-induced mouse models of colorectal cancer.	UNIFORM	62	gut metagenome
PRJNA1232341	False	True	Sus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	32	
PRJNA1232403	True	True	Apis mellifera	True	honey bee	True	honey bee	False		False	ENA + paper	Metagenomic samples were sequenced from the gut microbiota of 49 individual honeybees.	UNIFORM	98	insect gut metagenome
PRJNA1233886	True	True	Holothuria glaberrima	True	Holothuria glaberrima	True	Holothuria glaberrima	False		False	ENA + paper	Sequenced samples came from the intestinal tissue of the brown rock sea cucumber (Holothuria glaberrima).	UNIFORM	4	gut metagenome
PRJNA1234694	True	True	Diaprepres abbreviatus	True	Diaprepes abbreviatus	True	Diaprepes abbreviatus	False		False	ENA + paper	Shotgun metagenomic sequencing was performed on dissected guts from adult male and female D. abbreviatus collected in Puerto Rico.	UNIFORM	9	metagenome
PRJNA1238482	True	True	snake	True	Red Back Pine Root Snake (Oligodon formosanus); Chinese Slug-Eating Snake (Pareas chinensis)	True	Red Back Pine Root Snake (Oligodon formosanus); Chinese Slug-Eating Snake (Pareas chinensis)	False		False	ENA + paper	Fecal samples were sequenced from six Red Back Pine Root Snakes and three Chinese Slug-Eating Snakes.	UNIFORM	9	gut metagenome
PRJNA1242249	True	True	Moschus berezovskii	True	forest musk deer	True	forest musk deer (Moschus berezovskii)	False		False	ENA + paper	Metagenomic sequencing of fecal samples from wild and captive forest musk deer populations in China.	UNIFORM	24	Acidobacteriota bacterium; Acinetobacter sp. ANC 3813; Escherichia coli
PRJNA1243555	True	True	Escherichia coli	True	chicken	True	broiler chicken	False		False	ENA + paper	Fecal samples from broiler chickens were cultured and E. coli isolates were sequenced via whole-genome sequencing.	UNIFORM_WITH_GAPS	13	Escherichia coli
PRJNA1244851	True	False		True	humans; animal models	True	human; ferret (model of cystic fibrosis); mouse (model of cystic fibrosis)	True	cystic fibrosis	False	paper only	[model of cystic fibrosis] Sequenced samples came from stool of children with and without cystic fibrosis, and from ferret and mouse cystic fibrosis models.	NO_HOST_DATA	0	
PRJNA1245063	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM_WITH_GAPS	6	chicken gut metagenome
PRJNA1245445	True	True	Bos taurus	False		True	dairy cattle	False		False	ENA + paper	Metagenomic sequences came from pooled fecal samples collected from lactating dairy cows across hospital, fresh, and mid-lactation pens on 18 dairy farms.	UNIFORM_WITH_GAPS	20	gut metagenome
PRJNA1247471	True	False		True	giant panda (Ailuropoda melanoleuca)	True	giant panda (Ailuropoda melanoleuca)	False		False	paper only	Shotgun metagenomic sequencing was performed on fecal samples from captive adult and geriatric giant pandas.	NO_HOST_DATA	0	
PRJNA1253095	True	True	Nyctalus noctula	True	insectivorous bats	True	Nyctalus noctula; Vespertilio murinus	False		False	ENA + paper	Whole metagenome shotgun sequencing of intestinal samples from two insectivorous bat species at a rehabilitation center in Russia.	DIVERSE	10	bat gut metagenome
PRJNA1254096	True	True	Diptychus maculatus	True	Schizothorax biddulphi; Diptychus maculatus; Triplophysa yarkandensis	True	Schizothorax biddulphi; Diptychus maculatus; Triplophysa yarkandensis	False		False	ENA + paper	Shotgun metagenomics of gut microbiota was performed directly on these three fish species collected from the Kizil River.	DIVERSE	14	
PRJNA1257558	True	True	Pantholops hodgsonii	True	Tibetan antelope (Pantholops hodgsonii)	True	Tibetan antelope (Pantholops hodgsonii)	False		False	ENA + paper	Metagenomic samples were collected from gut tissues of Tibetan antelopes in the field, with and without Blastocystis infection.	UNIFORM	68	gut metagenome
PRJNA1260157	True	True	Mus musculus	True	mice	True	mouse (model of alveolar echinococcosis)	True	alveolar echinococcosis	False	ENA + paper	[model of alveolar echinococcosis] Sequenced samples (16S rRNA, metagenomics) came from fecal material of BALB/c mice with chronic E. multilocularis infection.	UNIFORM	6	mouse gut metagenome
PRJNA1261602	True	False		False		True	mouse (model of experimental autoimmune uveitis)	True	experimental autoimmune uveitis	False	paper only	[model of experimental autoimmune uveitis] Metagenomic sequencing was performed on gut samples from wild-type and PD-L1 knockout C57BL/6J mice with induced EAU.	NO_HOST_DATA	0	
PRJNA1263030	True	True	Ovis aries	True	ruminant	True	sheep	False		False	ENA + paper	Metagenomic samples came from the rumen microbiota of sheep treated with aflatoxin B1 and/or curcumin.	UNIFORM	18	sheep metagenome
PRJNA1264679	True	True	Sus scrofa	True	pig	True	pig	False		False	ENA + paper	Metagenomics samples were sequenced directly from the pig gut in a dietary intervention study comparing casein hydrolysate and intact casein diets.	UNIFORM	16	
PRJNA1264687	True	True	Protaetia brevitarsis	True	Protaetia brevitarsis larvae	True	Protaetia brevitarsis larvae	False		False	ENA + paper	Metagenomic sequencing was performed on hindgut contents samples from third-instar larvae of Protaetia brevitarsis obtained from five farms.	UNIFORM	10	metagenome
PRJNA1268041	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	16	pig gut metagenome
PRJNA1268758	False	True	Gallus gallus domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	24	chicken gut metagenome
PRJNA1269114	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	13	pig gut metagenome
PRJNA1269239	True	True	Duck	True	Mallards and domesticated Shaoxing ducks	True	Mallards and Shaoxing ducks	False		False	ENA + paper	Metagenomic and metabolomic samples were sequenced from the ileal and cecal microbiota of wild Mallards and domesticated Shaoxing ducks.	UNIFORM	33	gut metagenome
PRJNA1273701	True	True	Sprague-Dawley rats	True	rat	True	rat (model of toxoplasmosis)	True	toxoplasmosis	False	ENA + paper	[model of toxoplasmosis] Metagenomic sequencing was performed on intestinal samples from 18 Sprague-Dawley rats infected with Toxoplasma gondii at different infection stages.	UNIFORM	36	gut metagenome
PRJNA1280790	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	fish gut metagenome; seawater metagenome; sediment metagenome
PRJNA1282711	False	True	Sus scrofa domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	45	pig gut metagenome
PRJNA1283350	True	False		True	Arbor Acres and Taoyuan chickens	True	Arbor Acres and Taoyuan chickens	False		False	paper only	Metagenomic sequencing was performed on gut microbiota samples from two chicken breeds (Arbor Acres and Taoyuan chickens); the in vitro myoblast assays were downstream mechanistic validation, not the source of sequenced samples.	NO_HOST_DATA	0	metagenomes
PRJNA1289129	True	True	Rattus norvegicus	False		True	Wistar rat (male)	True	developmental dysbiosis from cafeteria diet	False	ENA + paper	[model of developmental dysbiosis from cafeteria diet] Metagenomic sequencing was performed on gut samples from 21-day-old male Wistar rats exposed to a cafeteria diet during the developmental period (days 21-56).	UNIFORM	4	rat gut metagenome
PRJNA1293833	True	True	Bos taurus	True	beef calves	True	beef calves	False		False	ENA + paper	Fecal samples were collected from the rectum of 16 indigenous beef calves at 4 months of age for metagenomic sequencing.	UNIFORM	39	metagenome
PRJNA1293880	True	False		True	giant panda	True	giant panda	False		False	paper only	Metagenomic samples were sequenced from the gut microbiome of 142 giant panda individuals.	NO_HOST_DATA	0	
PRJNA1297587	True	True	Diaprepes abbreviatus	True	Diaprepes abbreviatus	True	Diaprepes abbreviatus	False		False	ENA + paper	Shotgun metagenomic sequencing was performed on dissected guts from adult citrus root weevils collected in Puerto Rico.	DIVERSE	16	insect gut metagenome; leaf metagenome
PRJNA1298367	True	True	Homo sapiens	False		True	human	False		False	ENA + paper	Shotgun metagenomic sequencing of stool samples from individuals with paediatric-onset multiple sclerosis and unaffected controls.	DIVERSE	104	human gut metagenome; mouse gut metagenome
PRJNA1298833	True	True	Canis lupus familiaris	True	canine	True	canine	False		False	ENA + paper	Metagenomic sequencing was performed on stool samples from a four-year-old Siberian Husky with chronic enteropathy following parvovirus infection, before and after fecal microbiota transplantation.	UNIFORM	4	
PRJNA1298916	True	True	Mus musculus	False		True	mouse	False		False	ENA + paper	Sequenced samples came from fecal material of gnotobiotic mice colonized with synthetic gut microbial communities.	UNIFORM	27	synthetic metagenome
PRJNA1301039	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	48	pig gut metagenome
PRJNA1302101	True	True	Phalacrocorax auritus	True	double-crested cormorant (Nannopterum auritum)	True	double-crested cormorant (Nannopterum auritum)	False		False	ENA + paper	Sequenced samples were fecal samples collected from two double-crested cormorants.	UNIFORM	2	gut metagenome
PRJNA1302757	True	False		True	female field cricket Teleogryllus occipitalis	True	female field cricket Teleogryllus occipitalis	False		False	paper only	Whole-genome shotgun metagenomics was performed on gut samples from female crickets reared under two different social conditions.	NO_HOST_DATA	0	gut metagenome
PRJNA1306187	True	False		True	wild mouse	True	deer mouse (Peromyscus maniculatus)	False		False	paper only	Sequenced samples came from gut microbiota of wild-living deer mouse populations sampled across the United States.	NO_HOST_DATA	0	
PRJNA1307965	True	True	Mus musculus	True	Balb/c mouse (model of acute lung injury)	True	Balb/c mouse (model of acute lung injury)	True	acute lung injury	False	ENA + paper	[model of acute lung injury] Metagenomic sequencing of gut microbiota from LPS-induced ALI Balb/c mice treated with triptolide.	UNIFORM	14	metagenome
PRJNA1320715	True	True	Mus musculus	False		True	mouse (model of aging-associated immune remodeling)	True	aging-associated immune remodeling	False	ENA + paper	[model of aging-associated immune remodeling] Fecal samples were collected from RAG1-/- recipient mice transplanted with young or aged donor hematopoietic stem cells and subjected to shotgun metagenomic sequencing.	UNIFORM	66	metagenome
PRJNA1320939	True	False		True	lactating sows	True	lactating sows	False		False	paper only	Shotgun metagenomes were obtained directly from 25 lactating sows exposed to heat stress conditions.	NO_HOST_DATA	0	
PRJNA1332038	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	1	
PRJNA1332145	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	112	pig gut metagenome
PRJNA1353630	True	False		True	Tibetan macaque (Macaca thibetana)	True	Tibetan macaque (Macaca thibetana)	False		False	paper only	Metagenomic samples were collected from the gut microbiome of a wild social group of Tibetan macaques in Huangshan.	NO_HOST_DATA	0	
PRJNA1356556	False	True	environment	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	28	air metagenome; chicken gut metagenome; poultry litter metagenome; soil metagenome
PRJNA1367213	True	True	Ovis aries	True	vertebrate	True	vertebrate	False		False	ENA + paper	Gut metagenomes were sequenced from 14 different vertebrate species including carnivores, omnivores, and birds.	UNIFORM	109	Ovis aries
PRJNA1375668	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	24	pig gut metagenome
PRJNA1376267	True	False		True	domestic cats	True	domestic cats	False		False	paper only	Gut microbiome and metabolome samples were sequenced from domestic cats that received oral administration of complex probiotics or control diet.	NO_HOST_DATA	0	gut metagenome
PRJNA1377454	True	True	Mus musculus	True	asthmatic mice	True	mouse (model of asthma)	True	asthma	False	ENA + paper	[model of asthma] Fecal samples from OVA-induced asthmatic BALB/c mice were collected for metagenomic sequencing.	UNIFORM	24	feces metagenome
PRJNA1389899	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	18	chicken gut metagenome
PRJNA1390420	True	True	Mus musculus	False		True	mouse (model of metabolic stress)	True	metabolic stress	False	ENA + paper	[model of metabolic stress] Deep shotgun metagenomic sequencing was performed on gut samples from hydrocortisone-induced murine metabolic stress model.	UNIFORM	15	
PRJNA1391520	True	False		True	pig	True	weaned pig	False		False	paper only	Metagenome sequencing and whole-genome sequencing were performed on fecal samples collected from weaned pigs on day 24 of the dietary treatment experiment.	NO_HOST_DATA	0	pig gut metagenome
PRJNA1393111	True	True	Ictalurus punctatus	True	channel catfish (Ictalurus punctatus)	True	channel catfish (Ictalurus punctatus)	False		False	ENA + paper	Metagenomic sequencing was performed on gut contents collected from oxytetracycline-treated channel catfish at different temperatures.	UNIFORM	25	
PRJNA1399069	True	False		True	freshwater fish	True	freshwater fish	False		False	paper only	Metagenomics samples were sequenced from the gut microbiomes of five dominant farmed freshwater fish species in China with distinct feeding habits.	NO_HOST_DATA	0	
PRJNA1399070	True	True	Manis javanica	True	Malayan pangolins	True	Malayan pangolins	False		False	ENA + paper	Fecal samples were collected from captive male Malayan pangolins for metagenomic and metabolomic analysis.	UNIFORM	13	Manis javanica
PRJNA1400761	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJNA1405988	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	64	pig gut metagenome
PRJNA1415237	True	False		True	elephant	True	elephant	False		False	paper only	Sequenced samples came from elephant gut microbiome; mouse models were used only for downstream validation of isolated bacterium.	NO_HOST_DATA	0	
PRJNA1417531	True	False		False		True	mouse (model of Klebsiella pneumoniae infection)	True	Klebsiella pneumoniae infection	False	paper only	[model of Klebsiella pneumoniae infection] Metagenomics sequenced gut microbiota samples from mice in a murine infection model infected with the attenuated K. pneumoniae mutant strain.	NO_HOST_DATA	0	
PRJNA1428229	True	False		True	pygmy grasshopper (Tetrix japonica)	True	Tetrix japonica	False		False	paper only	Shotgun metagenomic sequencing was performed on gut samples from six populations of Tetrix japonica across diverse ecosystems in China.	NO_HOST_DATA	0	
PRJNA1434035	True	False		True	rat	True	rat	False		False	paper only	Metagenomic samples were sequenced from Sprague-Dawley rat faecal-derived microbial communities in ex vivo anaerobic fermentation.	NO_HOST_DATA	0	
PRJNA1442370	True	False		True	forest musk deer	True	forest musk deer (Moschus berezovskii)	False		False	paper only	Sequenced samples came from fecal material of 75 captive forest musk deer housed at high and low altitude facilities.	NO_HOST_DATA	0	
PRJNA1454930	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	10	
PRJNA1475489	True	True	Homo sapiens	False		True	human	False		False	ENA + paper	Shotgun metagenomic sequencing was performed on stool samples collected from human adults aged 50-90 years classified as healthy controls or with mild cognitive impairment.	UNIFORM	39	human gut metagenome
PRJNA1477333	True	False		True	broiler	True	broiler chickens	False		False	paper only	Metagenomic sequencing was performed on ileal and caecal digesta samples from 392 broiler chickens in the in vivo feeding study.	NO_HOST_DATA	0	
PRJNA158313	True	True	Rhinopithecus bieti	True	Iberian lynx	True	Iberian lynx (Lynx pardinus)	False		False	ENA + paper	Metagenome sequences were obtained from wild Iberian lynx fecal samples.	DIVERSE	2	Xanthonycticebus pygmaeus; gut metagenome
PRJNA193472	True	True	Macrotermes natalensis	True	termite	True	termite	False		False	ENA + paper	Gut metagenomes were sequenced from nine termite species with distinct diets (fungus-growing and wood-feeding termites).	UNIFORM	3	termite gut metagenome
PRJNA255439	True	True	Homo sapiens	True	human	True	human	False		False	ENA + paper	Shotgun metagenomic sequencing was performed on oropharyngeal microbiome samples from 16 individuals with schizophrenia and 16 controls.	UNIFORM	32	human metagenome
PRJNA255875	False	True	Sus scrofa domesticus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	16	pig gut metagenome
PRJNA255936	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	15	
PRJNA269993	True	True	Cow	True	dairy cow	True	Holstein cow	False		False	ENA + paper	Sequenced samples came from feces of dairy cows (Holstein breed) following ceftiofur treatment and control conditions.	UNIFORM	1	bovine gut metagenome
PRJNA271123	True	False		False		False		False		False	unknown	This is a meta-analysis of 73 published metagenomic datasets from multiple environments; no new samples were sequenced from a single host organism.	NO_HOST_DATA	0	hot springs metagenome
PRJNA271618	True	True	Papio cynocephalus	True	baboon	True	wild baboons	False		False	ENA + paper	Shotgun metagenomic sequencing was performed on fecal samples from wild baboons in their natural population.	UNIFORM	48	
PRJNA273761	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	UNIFORM	60	human gut metagenome
PRJNA278393	True	True	Homo sapiens	False		True	human; mouse; koala; guinea pig	False		False	ENA + paper	Fecal samples were extracted and sequenced from four animal hosts: human, mouse, koala, and guinea pig.	UNIFORM	38	human gut metagenome
PRJNA290380	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomic samples came from fecal material of 963 infants across six countries.	UNIFORM	785	human gut metagenome
PRJNA290684	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	
PRJNA290729	True	True	Homo sapiens	True	human	True	human	False		False	ENA + paper	Sequenced samples came from human gut metagenomics studies (1246 participants from 17 studies); cell and animal models were used only for downstream mechanistic validation.	UNIFORM	92	human gut metagenome
PRJNA291299	True	True	Hen	True	chicken	True	chicken	False		False	ENA + paper	Metagenomic sequencing was performed on fifty chicken faecal samples from two breeds, plus analysis of 582 publicly available chicken metagenomes.	UNIFORM	4	chicken gut metagenome
PRJNA293625	False	True	globefish	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	4	
PRJNA293646	False	True	Bos	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	DIVERSE	13	bovine gut metagenome; chicken gut metagenome; pig gut metagenome
PRJNA294605	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	UNIFORM_WITH_GAPS	1	human gut metagenome
PRJNA297579	True	True	Gymnogyps californianus	True	California condor	True	California condor (Gymnogyps californianus)	False		False	ENA + paper	Shotgun metagenomic DNA sequences were analyzed from fecal and cloacal samples of captive California condors.	UNIFORM	31	gut metagenome
PRJNA298736	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	13	chicken gut metagenome
PRJNA301903	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	UNIFORM	422	human gut metagenome
PRJNA311136	False	True	Pristis pectinata	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	1	fish gut metagenome
PRJNA312048	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	6	pig gut metagenome
PRJNA312222	True	True	Homo sapiens	True	human	True	human	False		False	ENA + paper	Metagenomic sequencing was performed on stool samples from human subjects.	UNIFORM	4	human gut metagenome
PRJNA313232	True	True	Homo sapiens	True	homeothermic animals	True	human; mouse; koala; guinea pig	False		False	ENA + paper	Sequenced samples came from fecal samples of four different animal hosts: human, mouse, koala, and guinea pig.	DIVERSE	14	Bacteroidales bacterium GP1; Bacteroidales bacterium GP2; Bacteroidales bacterium GP3; Bacteroidales bacterium GP4; Bacteroidales bacterium H1; Bacteroidales bacterium H10; Bacteroidales bacterium H2; Bacteroidales bacterium H3; Bacteroidales bacterium H4; Bacteroidales bacterium H5; Bacteroidales bacterium H6; Bacteroidales bacterium H7; Bacteroidales bacterium H8; Bacteroidales bacterium H9
PRJNA316560	True	True	Anser indicus	False		True	180 predominantly wild animal species representing 5 classes	False		False	ENA + paper	Metagenomes were sequenced from the gut samples of 180 wild animal species across 5 vertebrate classes (mammals, birds, reptiles, amphibians, and fish).	UNIFORM	2	gut metagenome
PRJNA316570	True	True	Anser indicus	False		True	180 predominantly wild animal species representing 5 classes	False		False	ENA + paper	Sequenced samples came from gut metagenomes of 180 wild animal species across mammals, birds, reptiles, amphibians, and fish.	UNIFORM	2	gut metagenome
PRJNA321058	True	True	Homo sapiens	True	inflammatory bowel disease patients	True	inflammatory bowel disease patients and healthy subjects	False		False	ENA + paper	Metagenomic samples came from IBD patients and matched healthy controls; mice were used only for downstream functional validation.	UNIFORM	53	human gut metagenome
PRJNA327106	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	UNIFORM	45	human gut metagenome; human oral metagenome; human skin metagenome
PRJNA338370	False	True	broiler chickens	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	10	chicken gut metagenome
PRJNA339914	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	UNIFORM	28	
PRJNA340521	True	False		True	marsupials	True	marsupial	False		False	paper only	Fecal samples were collected from 14 marsupial species (predominantly captive animals) for metagenomic sequencing.	NO_HOST_DATA	0	gut metagenome
PRJNA340908	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	29	chicken gut metagenome
PRJNA347599	False	True	Gallus gallus	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	12	
PRJNA352475	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	UNIFORM	230	human gut metagenome; human metagenome
PRJNA354235	True	True	Homo sapiens	True	inflammatory bowel disease patients	True	inflammatory bowel disease patients and healthy subjects	False		False	ENA + paper	Metagenomic samples were sequenced from gut microbiota of IBD patients and matched healthy subjects; mouse models were only used for downstream validation of discovered molecules.	UNIFORM	1307	
PRJNA356225	True	True	Homo sapiens	False		True	human; mouse (model of experimental autoimmune uveitis)	True	experimental autoimmune uveitis	False	ENA + paper	[model of experimental autoimmune uveitis] Metagenomic samples came from human fecal and saliva; mice received fecal transplants in downstream validation experiment only.	UNIFORM	150	
PRJNA356809	True	True	Lynx lynx	True	giant panda (Ailuropoda melanoleuca)	True	giant panda (wild and captive)	False		False	ENA + paper	Fecal samples were sequenced from wild and captive giant pandas using 16S rRNA and shotgun metagenomics.	DIVERSE	77	gut metagenome
PRJNA358755	True	True	Panda	True	giant panda	True	giant panda	False		False	ENA + paper	Fecal samples were sequenced from wild and captive giant pandas using 16S rRNA and shotgun metagenomics.	DIVERSE	207	gut metagenome
PRJNA361402	True	True	Homo sapiens	False		True	human; mouse (model of type 2 diabetes)	True	type 2 diabetes	False	ENA + paper	[model of type 2 diabetes] Sequenced samples came from 1,000 human gut samples across 5 countries (primary host) and a murine experimental model (secondary model organism); mice were used to confirm metformin's impact on gut fungi.	UNIFORM	2	human gut metagenome; human metagenome
PRJNA371649	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	1	
PRJNA373834	False	True	Sus scrofa	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	22	pig gut metagenome
PRJNA374522	False	False		False	N/A	False	N/A	False		False	unknown	no linked paper -- deposit-only study	NO_HOST_DATA	0	fish gut metagenome
PRJNA375762	True	True	Gallus gallus	True	chicken	True	chicken	False		False	ENA + paper	Metagenomic sequencing was performed on chicken faecal samples from two breeds.	UNIFORM	12	chicken gut metagenome
PRJNA376566	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	DIVERSE_AND_SPARSE	2	
PRJNA376580	True	False		True	infant	True	infant	False		True	human-by-biome-label	Metagenomes were sequenced from fecal samples of 963 infants across six countries.	NO_HOST_DATA	0	indoor metagenome
PRJNA379709	True	True	Mus musculus	False		True	mouse (model of colon cancer)	True	colon cancer	False	ENA + paper	[model of colon cancer] Metagenomic sequencing was performed on gut microbiota samples from 40 genetically engineered mice (Smad3 knockout).	UNIFORM	8	mouse gut metagenome
PRJNA381379	True	True	Strigops habroptila	True	kakapo	True	kakapo	False		False	ENA + paper	Faecal samples were collected from kakapo (critically endangered parrot) for 16S rRNA gene and metagenomic sequencing.	UNIFORM	3	Escherichia fergusonii; Streptococcus gallolyticus; gut metagenome
PRJNA383926	False	True	broiler	False	N/A	False	N/A	False		False	ENA only	no linked paper -- deposit-only study	UNIFORM	6	
PRJNA384716	True	True	Homo sapiens	True	infant	True	infant	False		False	ENA + paper	Metagenomic sequencing was performed on fecal samples from 963 infants across six countries.	UNIFORM	96	human metagenome
PRJNA385134	True	True	Mus musculus	True	mouse	True	mouse	True	antibiotic-induced dysbiosis	False	ENA + paper	[model of antibiotic-induced dysbiosis] Metagenomic sequencing was performed on fecal samples from mice following antibiotic treatment and viral transfer.	UNIFORM	26	viral metagenome
