study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	abstract	title	classification
PRJNA1047964	Ovis aries	9940.0		China:Qinghai-Tibet Plateau	14	WGS	ena_only			compost metagenome Raw sequence reads	YES_regex
PRJEB58441	feces metagenome			Tanzania	587	WGS	ena_only			Hominid host-microbiome co-adaptive response on a leash	YES_regex
PRJNA385134	Mus musculus	10090.0		Ireland	26	WGS	pubmed	33218339.0	"1. BMC Biol. 2020 Nov 20;18(1):173. doi: 10.1186/s12915-020-00906-0.

Autochthonous faecal viral transfer (FVT) impacts the murine microbiome after 
antibiotic perturbation.

Draper LA(1)(2), Ryan FJ(1)(2)(3), Dalmasso M(1)(2)(4), Casey PG(2), McCann 
A(1)(2), Velayudhan V(1)(2), Ross RP(1), Hill C(5)(6).

Author information:
(1)APC Microbiome Ireland, University College Cork, Cork, Ireland.
(2)School of Microbiology, University College Cork, Cork, Ireland.
(3)Present Address: SAHMRI, North Terrace Adelaide, 5000, South Australia.
(4)Present Address: Normandie Univ, UNICAEN, ABTE, 14000, Caen, France.
(5)APC Microbiome Ireland, University College Cork, Cork, Ireland. 
c.hill@ucc.ie.
(6)School of Microbiology, University College Cork, Cork, Ireland. 
c.hill@ucc.ie.

BACKGROUND: It has become increasingly accepted that establishing and 
maintaining a complex and diverse gut microbiota is fundamental to human health. 
There are growing efforts to identify means of modulating and influencing the 
microbiota, especially in individuals who have experienced a disruption in their 
native microbiota. Faecal microbiota transplantation (FMT) is one method that 
restores diversity to the microbiota of an individual by introducing microbes 
from a healthy donor. FMT introduces the total microbial load into the 
recipient, including the bacteria, archaea, yeasts, protists and viruses. In 
this study, we investigated whether an autochthonous faecal viral transfer 
(FVT), in the form of a sterile faecal filtrate, could impact the recovery of a 
bacteriome disrupted by antibiotic treatment.
RESULTS: Following antibiotic disruption of the bacteriome, test mice received 
an FVT harvested prior to antibiotic treatment, while control mice received a 
heat- and nuclease-treated FVT. In both groups of mice, the perturbed microbiome 
reverted over time to one more similar to the pre-treatment one. However, the 
bacteriomes of mice that received an FVT, in which bacteriophages predominate, 
separated from those of the control mice as determined by principal co-ordinate 
analysis (PCoA). Moreover, analysis of the differentially abundant taxa 
indicated a closer resemblance to the pre-treatment bacteriome in the test mice 
that had received an FVT. Similarly, metagenomic sequencing of the virome 
confirmed that faecal bacteriophages of FVT and control mice differed over time 
in both abundance and diversity, with the phages constituting the FVT persisting 
in mice that received them.
CONCLUSIONS: An autochthonous virome transfer reshaped the bacteriomes of mice 
post-antibiotic treatment such that they more closely resembled the 
pre-antibiotic microbiota profile compared to mice that received non-viable 
phages. Thus, FVT may have a role in addressing antibiotic-associated microbiota 
alterations and potentially prevent the establishment of post-antibiotic 
infection. Given that bacteriophages are biologically inert in the absence of 
their host bacteria, they could form a safe and effective alternative to whole 
microbiota transplants that could be delivered during/following perturbation of 
the gut flora.

DOI: 10.1186/s12915-020-00906-0
PMCID: PMC7679995
PMID: 33218339 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that they have no competing 
interests."	viral metagenome Metagenome	YES_regex
PRJNA715658	Gallus gallus	9031.0		Austria: Lower Austria	751	WGS	pubmed	34484168.0	"1. Front Microbiol. 2021 Aug 16;12:726923. doi: 10.3389/fmicb.2021.726923. 
eCollection 2021.

Genome-Resolved Metagenomics of the Chicken Gut Microbiome.

Segura-Wang M(1), Grabner N(1), Koestelbauer A(1), Klose V(1), Ghanbari M(1).

Author information:
(1)BIOMIN Research Center, Tulln, Austria.

Increasing evidence shows that the chicken gastrointestinal microbiota has a 
major effect on the modulation of metabolic functions and is correlated with 
economic parameters, such as feed efficiency and health. Some of these effects 
derive from the capacity of the chicken to digest carbohydrates and produce 
energy-rich metabolites such as short-chain fatty acids (SCFA) and from 
host-microbe interactions. In this study, we utilized information from 
metagenomic assembled genomes (MAGs) from chicken gastrointestinal tract (GIT) 
samples, with detailed annotation of carbohydrate-active enzymes (CAZymes) and 
genes involved in SCFA production, to better understand metabolic potential at 
different ages. Metagenomic sequencing of 751 chicken GIT samples was performed 
to reconstruct 155 MAGs, representing species which belong to six phyla, 
primarily Firmicutes followed by Proteobacteria. MAG diversity significantly (p 
< 0.001) increased with age, with early domination of Lachnospiraceae, followed 
by other families including Oscillospiraceae. Age-dependent shifts were observed 
in the abundance of genes involved in CAZyme and SCFA production, exemplified by 
a significant increase in glycosyltransferases (GTs) and propionic acid 
production pathways (p < 0.05), and a lower abundance of glycoside hydrolases 
(GHs) (p < 0.01). Co-occurrence analysis revealed a large cluster highly 
interconnected by enzymes from GT2_2 and GH3 families, underscoring their 
importance in the community. Furthermore, several species were identified as 
interaction hubs, elucidating associations of key microbes and enzymes that more 
likely drive temporal changes in the chicken gut microbiota, and providing 
further insights into the structure of the complex microbial community. This 
study extends prior efforts on the characterization of the chicken GIT 
microbiome at the taxonomic and functional levels and lays an important 
foundation toward better understanding the broiler chicken gut microbiome 
helping in the identification of modulation opportunities to increase animal 
health and performance.

Copyright © 2021 Segura-Wang, Grabner, Koestelbauer, Klose and Ghanbari.

DOI: 10.3389/fmicb.2021.726923
PMCID: PMC8415551
PMID: 34484168

Conflict of interest statement: All authors are employed by BIOMIN Holding GmbH 
(BIOMIN is part of DSM)."	Genome-resolved metagenomics of the chicken gut microbiome	YES_regex
PRJNA1405988	Sus scrofa	9823.0		Spain	64	WGS	ena_only			Gut microbiome in PRRS vaccination and infection	YES_regex
PRJNA563508	Homo sapiens			China:Qinghai Gengga Lake	99	WGS	pubmed	32122398.0	"1. Microbiome. 2020 Mar 2;8(1):26. doi: 10.1186/s40168-019-0781-8.

Metagenomic analysis reveals the microbiome and resistome in migratory birds.

Cao J(1)(2), Hu Y(3), Liu F(1), Wang Y(1), Bi Y(1), Lv N(1), Li J(1), Zhu 
B(4)(5), Gao GF(6)(7)(8).

Author information:
(1)CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of 
Microbiology, Chinese Academy of Sciences, Beijing, China.
(2)Savaid Medical School, University of Chinese Academy of Sciences, Beijing, 
China.
(3)State Key Laboratory of Animal Nutrition, College of Animal Science and 
Technology, China Agricultural University, Beijing, China.
(4)CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of 
Microbiology, Chinese Academy of Sciences, Beijing, China. zhubaoli@im.ac.cn.
(5)Savaid Medical School, University of Chinese Academy of Sciences, Beijing, 
China. zhubaoli@im.ac.cn.
(6)CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of 
Microbiology, Chinese Academy of Sciences, Beijing, China. gaof@im.ac.cn.
(7)Savaid Medical School, University of Chinese Academy of Sciences, Beijing, 
China. gaof@im.ac.cn.
(8)National Institute for Communicable Disease Control and Prevention, Chinese 
Center for Disease Control and Prevention, Beijing, China. gaof@im.ac.cn.

BACKGROUND: Antibiotic-resistant pathogens pose high risks to human and animal 
health worldwide. In recent years, the role of gut microbiota as a reservoir of 
antibiotic resistance genes (ARGs) in humans and animals has been increasingly 
investigated. However, the structure and function of the gut bacterial 
community, as well as the ARGs they carry in migratory birds remain unknown.
RESULTS: Here, we collected samples from migratory bird species and their 
associated environments and characterized their gut microbiomes and resistomes 
using shotgun metagenomic sequencing. We found that migratory birds vary greatly 
in gut bacterial composition but are similar in their microbiome metabolism and 
function. Birds from the same environment tend to harbor similar bacterial 
communities. In total, 1030 different ARGs (202 resistance types) conferring 
resistance to tetracycline, aminoglycoside, β-lactam, sulphonamide, 
chloramphenicol, macrolide-lincosamide-streptogramin (MLS), and quinolone are 
identified. Procrustes analysis indicated that microbial community structure is 
not correlated with the resistome in migratory birds. Moreover, metagenomic 
assembly-based host tracking revealed that most of the ARG-carrying contigs 
originate from Proteobacteria. Co-occurrence patterns revealed by network 
analysis showed that emrD, emrY, ANT(6)-Ia, and tetO, the hubs of ARG type 
network, are indicators of other co-occurring ARG types. Compared with the 
microbiomes and resistomes in the environment, migratory birds harbor a lower 
phylogenetic diversity but have more antibiotic resistance proteins. 
Interestingly, we found that the mcr-1 resistance gene is widespread among 
different birds, accounting for 50% of the total samples. Meanwhile, a large 
number of novel β-lactamase genes are also reconstructed from bird metagenomic 
assemblies based on fARGene software.
CONCLUSIONS: Our study provides a comprehensive overview of the diversity and 
abundance of ARGs in migratory birds and highlights the possible role of 
migratory birds as ARG disseminators into the environment. Video abstract.

DOI: 10.1186/s40168-019-0781-8
PMCID: PMC7053137
PMID: 32122398 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that they have no competing 
interests"	metagenome sequencing Raw sequence reads	YES_regex
PRJNA595610	feces metagenome			USA	1	WGS	ena_only			1898966 Metagenome	YES_regex
PRJDB1459					1	WGS	ena_only			Metagenome analysis of fecal microbiota from mouse which was promoted longevity, spatial learning and memory	YES_regex
PRJNA475246	Homo sapiens				286	WGS	pubmed	38882494.0	"1. Imeta. 2024 Jan 31;3(2):e169. doi: 10.1002/imt2.169. eCollection 2024 Apr.

Infant age inversely correlates with gut carriage of resistance genes, 
reflecting modifications in microbial carbohydrate metabolism during early life.

Xu X(1)(2)(3), Feng Q(1)(2)(4), Zhang T(1)(2), Gao Y(1)(2), Cheng Q(5), Zhang 
W(1)(2), Wu Q(6), Xu K(7), Li Y(8), Nguyen N(9), Taft DH(9), Mills DA(9)(10), 
Lemay DG(11), Zhu W(1)(2), Mao S(1)(2), Zhang A(12), Xu K(13), Liu J(1)(2).

Author information:
(1)Laboratory of Gastrointestinal Microbiology, College of Animal Science & 
Technology Nanjing Agricultural University Nanjing China.
(2)Jiangsu Key Laboratory of Gastrointestinal Nutrition and Animal Health, 
National Center for International Research on Animal Gut Nutrition Nanjing 
Agricultural University Nanjing China.
(3)Department of Nutrition and Food Hygiene, School of Public Health, Institute 
of Nutrition Fudan University Shanghai China.
(4)Biological Engineering Division Massachusetts Institute of Technology (MIT) 
Cambridge Massachusetts USA.
(5)Department of Epidemiology and Biostatistics, School of Public Health, Tongji 
Medical College Huazhong University of Science and Technology Wuhan China.
(6)Department of Pathology and Immunology Baylor College of Medicine Houston 
Texas USA.
(7)Department of Statistics University of Chicago Chicago Illinois.
(8)State Key Laboratory of Genetic Engineering, Human Phenome Institute Fudan 
University Shanghai China.
(9)Department of Food Science and Technology University of California, Davis 
Davis California USA.
(10)Department of Viticulture and Enology, Robert Mondavi Institute for Wine and 
Food Science University of California, Davis Davis California USA.
(11)USDA ARS Western Human Nutrition Research Center Davis California USA.
(12)Animal Disease Prevention and Food Safety Key Laboratory of Sichuan 
Province, Key Laboratory of Bio-Resource and Eco-Environment of Ministry of 
Education, College of Life Sciences Sichuan University Chengdu China.
(13)Department of Biostatistics, Key Laboratory of Public Health Safety, NHC Key 
Laboratory of Health Technology Assessment, School of Public Health Fudan 
University Shanghai China.

The infant gut microbiome is increasingly recognized as a reservoir of 
antibiotic resistance genes, yet the assembly of gut resistome in infants and 
its influencing factors remain largely unknown. We characterized resistome in 
4132 metagenomes from 963 infants in six countries and 4285 resistance genes 
were observed. The inherent resistome pattern of healthy infants (N = 272) could 
be distinguished by two stages: a multicompound resistance phase (Months 0-7) 
and a tetracycline-mupirocin-β-lactam-dominant phase (Months 8-14). Microbial 
taxonomy explained 40.7% of the gut resistome of healthy infants, with 
Escherichia (25.5%) harboring the most resistance genes. In a further analysis 
with all available infants (N = 963), we found age was the strongest influencer 
on the resistome and was negatively correlated with the overall resistance 
during the first 3 years (p < 0.001). Using a random-forest approach, a set of 
34 resistance genes could be used to predict age (R 2 = 68.0%). Leveraging 
microbial host inference analyses, we inferred the age-dependent assembly of 
infant resistome was a result of shifts in the gut microbiome, primarily driven 
by changes in taxa that disproportionately harbor resistance genes across taxa 
(e.g., Escherichia coli more frequently harbored resistance genes than other 
taxa). We performed metagenomic functional profiling and metagenomic assembled 
genome analyses whose results indicate that the development of gut resistome was 
driven by changes in microbial carbohydrate metabolism, with an increasing need 
for carbohydrate-active enzymes from Bacteroidota and a decreasing need for 
Pseudomonadota during infancy. Importantly, we observed increased acquired 
resistance genes over time, which was related to increased horizontal gene 
transfer in the developing infant gut microbiome. In summary, infant age was 
negatively correlated with antimicrobial resistance gene levels, reflecting a 
composition shift in the gut microbiome, likely driven by the changing need for 
microbial carbohydrate metabolism during early life.

© 2024 The Authors. iMeta published by John Wiley & Sons Australia, Ltd on 
behalf of iMeta Science.

DOI: 10.1002/imt2.169
PMCID: PMC11170968
PMID: 38882494

Conflict of interest statement: David A. Mills is a cofounder of Evolve 
Biosystems and BCD Biosciences. Evolve Biosystems and BCD Biosciences had no 
role in this manuscript's conceptualization, design, data collection, analysis, 
or preparation. The remaining authors declare no conflict of interest."	Strain-level identification of mother-to-child bacterial transmission during the first few months of life	YES_regex
PRJNA389927	Homo sapiens	9606.0		Canada:Toronto	181	WGS	pubmed	35440042.0	"1. Microbiome. 2022 Apr 19;10(1):64. doi: 10.1186/s40168-022-01242-x.

Diversity and distribution of sulfur metabolic genes in the human gut microbiome 
and their association with colorectal cancer.

Wolf PG(#)(1)(2)(3)(4), Cowley ES(#)(5)(6), Breister A(5), Matatov S(3), Lucio 
L(3), Polak P(3), Ridlon JM(3)(4)(7)(8), Gaskins HR(9)(10)(11)(12)(13)(14), 
Anantharaman K(15).

Author information:
(1)Institute for Health Research and Policy, University of Illinois at Chicago, 
Chicago, IL, USA.
(2)University of Illinois Cancer Center, University of Illinois at Chicago, 
Chicago, IL, USA.
(3)Department of Animal Sciences, University of Illinois Urbana-Champaign, 
Urbana, IL, USA.
(4)Division of Nutritional Sciences, University of Illinois Urbana-Champaign, 
Urbana, IL, USA.
(5)Department of Bacteriology, University of Wisconsin-Madison, Madison, WI, 
USA.
(6)Microbiology Doctoral Training Program, University of Wisconsin-Madison, 
Madison, WI, USA.
(7)Carl R. Woese Institute for Genomic Biology, University of Illinois 
Urbana-Champaign, Urbana, IL, USA.
(8)Cancer Center at Illinois, University of Illinois Urbana-Champaign, Urbana, 
IL, USA.
(9)Department of Animal Sciences, University of Illinois Urbana-Champaign, 
Urbana, IL, USA. hgaskins@illinois.edu.
(10)Division of Nutritional Sciences, University of Illinois Urbana-Champaign, 
Urbana, IL, USA. hgaskins@illinois.edu.
(11)Carl R. Woese Institute for Genomic Biology, University of Illinois 
Urbana-Champaign, Urbana, IL, USA. hgaskins@illinois.edu.
(12)Cancer Center at Illinois, University of Illinois Urbana-Champaign, Urbana, 
IL, USA. hgaskins@illinois.edu.
(13)Department of Biomedical and Translational Sciences, University of Illinois 
Urbana-Champaign, Urbana, IL, USA. hgaskins@illinois.edu.
(14)Department of Pathobiology, University of Illinois Urbana-Champaign, Urbana, 
IL, USA. hgaskins@illinois.edu.
(15)Department of Bacteriology, University of Wisconsin-Madison, Madison, WI, 
USA. karthik@bact.wisc.edu.
(#)Contributed equally

BACKGROUND: Recent evidence implicates microbial sulfidogenesis as a potential 
trigger of colorectal cancer (CRC), highlighting the need for comprehensive 
knowledge of sulfur metabolism within the human gut. Microbial sulfidogenesis 
produces genotoxic hydrogen sulfide (H2S) in the human colon using inorganic 
(sulfate) and organic (taurine/cysteine/methionine) substrates; however, the 
majority of studies have focused on sulfate reduction using dissimilatory 
sulfite reductases (Dsr).
RESULTS: Here, we show that genes for microbial sulfur metabolism are more 
abundant and diverse than previously observed and are statistically associated 
with CRC. Using ~ 17,000 bacterial genomes from publicly available stool 
metagenomes, we studied the diversity of sulfur metabolic genes in 667 
participants across different health statuses: healthy, adenoma, and carcinoma. 
Sulfidogenic genes were harbored by 142 bacterial genera and both organic and 
inorganic sulfidogenic genes were associated with carcinoma. Significantly, the 
anaerobic sulfite reductase (asr) genes were twice as abundant as dsr, 
demonstrating that Asr is likely a more important contributor to sulfate 
reduction in the human gut than Dsr. We identified twelve potential pathways for 
reductive taurine metabolism and discovered novel genera harboring these 
pathways. Finally, the prevalence of metabolic genes for organic sulfur 
indicates that these understudied substrates may be the most abundant source of 
microbially derived H2S.
CONCLUSIONS: Our findings significantly expand knowledge of microbial sulfur 
metabolism in the human gut. We show that genes for microbial sulfur metabolism 
in the human gut are more prevalent than previously known, irrespective of 
health status (i.e., in both healthy and diseased states). Our results 
significantly increase the diversity of pathways and bacteria that are 
associated with microbial sulfur metabolism in the human gut. Overall, our 
results have implications for understanding the role of the human gut microbiome 
and its potential contributions to the pathogenesis of CRC. Video abstract.

© 2022. The Author(s).

DOI: 10.1186/s40168-022-01242-x
PMCID: PMC9016944
PMID: 35440042 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that they have no competing 
interests."	Viral and Bacterial Communities of Colorectal Cancer	YES_regex
PRJNA782061	Ctenopharyngodon idella	7959.0		China:Changsha	6	WGS	ena_only			Gut microbiome of grass carp (EX/WT)	YES_regex
PRJNA398089	Homo sapiens	9606.0		USA	1000	WGS	pubmed	39947133.0	"1. Cell Host Microbe. 2025 Feb 12;33(2):218-234.e12. doi: 
10.1016/j.chom.2025.01.002.

A meta-analysis of the gut microbiome in inflammatory bowel disease patients 
identifies disease-associated small molecules.

Elmassry MM(1), Sugihara K(2), Chankhamjon P(1), Kim Y(2), Camacho FR(3), Wang 
S(4), Sugimoto Y(1), Chatterjee S(1), Chen LA(5), Kamada N(6), Donia MS(7).

Author information:
(1)Department of Molecular Biology, Princeton University, Princeton, NJ 08544, 
USA.
(2)Division of Gastroenterology and Hepatology, Department of Internal Medicine, 
University of Michigan, Ann Arbor, MI 48109, USA.
(3)Lewis-Sigler Institute for Integrative Genomics, Princeton University, 
Princeton, NJ 08544, USA.
(4)Department of Chemical and Biological Engineering, Princeton University, 
Princeton, NJ 08544, USA.
(5)Department of Medicine, Division of Gastroenterology and Hepatology, Rutgers 
Robert Wood Johnson Medical School, New Brunswick, NJ 08901, USA.
(6)Division of Gastroenterology and Hepatology, Department of Internal Medicine, 
University of Michigan, Ann Arbor, MI 48109, USA; Department of Pathology, 
University of Michigan, Ann Arbor, MI 48109, USA; WPI Immunology Frontier 
Research Center, Osaka University, Suita, Osaka 565-0871, Japan.
(7)Department of Molecular Biology, Princeton University, Princeton, NJ 08544, 
USA; Department of Chemical and Biological Engineering, Princeton University, 
Princeton, NJ 08544, USA. Electronic address: donia@princeton.edu.

Update of
    bioRxiv. 2024 Feb 08:2024.02.07.579278. doi: 10.1101/2024.02.07.579278.

Gut microbiome changes have been associated with several human diseases, but the 
molecular and functional details underlying these associations remain largely 
unknown. Here, we performed a meta-analysis of small molecule biosynthetic gene 
clusters (BGCs) in metagenomic samples of the gut microbiome from inflammatory 
bowel disease (IBD) patients and matched healthy subjects and identified two 
Clostridia-derived BGCs that are significantly associated with Crohn's disease 
(CD), a main IBD type. Using synthetic biology, we discovered and solved the 
structures of six fatty acid amides as the products of the CD-enriched BGCs, 
which we subsequently detected in fecal samples from IBD patients. Finally, we 
show that the discovered molecules disrupt gut permeability and exacerbate 
disease in chemically or genetically susceptible mouse models of colitis. These 
findings suggest that microbiome-derived small molecules may play a role in the 
etiology of IBD and represent a generalizable approach for discovering molecular 
mediators of disease-relevant microbiome-host interactions.

Copyright © 2025 Elsevier Inc. All rights reserved.

DOI: 10.1016/j.chom.2025.01.002
PMCID: PMC12268991
PMID: 39947133 [Indexed for MEDLINE]

Conflict of interest statement: Declaration of interests M.S.D. is a scientific 
co-founder and CSO at Pragma Biosciences."	Longitudinal Multi’omics of the Human Microbiome in Inflammatory Bowel Disease	YES_regex
PRJNA1108401	fish gut metagenome			China	1	WGS	ena_only			Bacterial community of intestine Metagenome infected by Aeromonas veronii Metagenome	YES_regex
PRJNA926485	Sus scrofa domesticus	9825.0		Denmark	23	WGS	ena_only			Shotgun metagenomics sequences of colonic microbiome in of pig models for ulcerative colitis	YES_regex
PRJNA1283350	metagenomes			China:Changsha	48	WGS	pubmed	42019469.0	"1. Poult Sci. 2026 Apr 9;105(7):106914. doi: 10.1016/j.psj.2026.106914. Online 
ahead of print.

Gut microbiota-derived taurolithocholic acid modulates myofiber-type switching 
via p38 MAPK/PGC-1α signaling underlying breed differences between Arbor Acres 
and Taoyuan chickens.

Peng F(1), Zeng YY(1), Chang L(1), Huang YX(1), Deng JT(1), Liu YX(1), He X(1), 
Song ZH(2).

Author information:
(1)College of Animal Science and Technology, Hunan Agricultural University, 
Changsha, Hunan 410128, China; Hunan Engineering Research Center of Poultry 
Production Safety, Changsha, Hunan 410128, China; Yuelushan Laboratory, 
Changsha, Hunan 410128, China.
(2)College of Animal Science and Technology, Hunan Agricultural University, 
Changsha, Hunan 410128, China; Hunan Engineering Research Center of Poultry 
Production Safety, Changsha, Hunan 410128, China; Yuelushan Laboratory, 
Changsha, Hunan 410128, China. Electronic address: zehesong111@163.com.

It is well-established that the gut microbiota plays a crucial role in skeletal 
muscle development and homeostasis. However, the contribution of the gut 
microbiome to the distinct meat quality phenotypes observed between fast-growing 
commercial broilers and slow-growing local chicken breeds remains poorly 
understood. Therefore, this study aims to elucidate how the gut microbiota 
modulates pectoral muscle development by comparing muscle growth phenotypes and 
gut microbiome dynamics across these breeds. Using the fast-growing commercial 
Arbor Acres (AA) broiler and the slow-growing local breed Taoyuan (TY) chicken 
as models, we investigated how breed-specific gut microbiota modulate pectoral 
muscle fiber composition. AA broilers exhibited faster muscle growth but lower 
oxidative type I fiber proportion than TY chickens. While small intestinal 
microbiota succession was similar, cecal communities diverged markedly between 
breeds. Integrated metagenomic sequencing and metabolomics revealed that cecal 
Phocaeicola dorei abundance was strongly correlated with serum taurolithocholic 
acid (TLCA) levels and type I fiber content, especially in TY chickens, which 
prompted the selection of TLCA for functional validation. Reciprocal intestinal 
microbiota transplantation (IMT) shifted recipient muscle fiber phenotypes 
toward those of donors, confirming a causal role of the cecal microbiota. 
Furthermore, in vitro assays using AA-derived myoblasts demonstrated that TLCA 
promotes mitochondrial biogenesis and type I fiber formation by enhancing p38 
MAPK phosphorylation and PGC-1α activation; this effect was abolished by the p38 
inhibitor SB203580. Our study demonstrated that gut microbiota-derived TLCA 
modulates muscle fiber type transformation via the p38 MAPK/PGC-1α signaling 
pathway. This finding reveals an intricate mechanism whereby the gut microbiota 
regulates host muscle development through a metabolite-signaling axis, providing 
critical insights into the gut microbe-myofiber relationship.

Copyright © 2026. Published by Elsevier Inc.

DOI: 10.1016/j.psj.2026.106914
PMCID: PMC13122816
PMID: 42019469

Conflict of interest statement: Disclosures All the authors contributed to this 
paper declared no conflict of interest."	Metagenome	YES_regex
