study_accession	host_species	host_tax_id	n_samples	library_strategy	library_source	body_site	country	data_source	pmid	paper_title	doi	journal	pub_year	classification_final	host_kingdom	host_phylum	host_class	host_order	host_family	host_genus	host_species_taxonomy	llm_confidence	llm_body_site_signal	llm_evidence
PRJNA886985	mouse		167	WGS	GENOMIC		USA:Maryland	pubmed_metagenom_b1	37908118	A metagenomic analysis for combination therapy of multiple classes of antibiotics on the prevention of the spread of antibiotic-resistant genes.	10.1080/19490976.2023.2271150	Gut microbes	2023.0	YES								high	explicit	ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Sample title: 'Metagenome or environmental sample from mouse gut metagenome'; library_strategy: WGS
PRJNA875084	Mustela putorius	9668	3	WGS	METAGENOMIC		USA: Colorado	pubmed_metagenom_b1	37855604	Twenty-five metagenome-assembled genomes recovered from the gut microbiome of the domestic ferret, Mustela putorius.	10.1128/MRA.00364-23	Microbiology resource announcements	2023.0	YES	Metazoa	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela putorius	high	explicit	Paper title explicitly states 'gut microbiome of the domestic ferret'; library_source='METAGENOMIC'; library_strategy='WGS'; host organism='Mustela putorius' (domestic ferret)
PRJNA935534	Bos taurus	9913	60	OTHER	METAGENOMIC		United Kingdom	pubmed_metagenom_b1	37700351	Specific pathway abundances in the neonatal calf faecal microbiome are associated with susceptibility to Cryptosporidium parvum infection: a metagenomic analysis.	10.1186/s42523-023-00265-5	Animal microbiome	2023.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	high	explicit	Paper title states 'neonatal calf faecal microbiome'; biome label 'gut metagenome'; library_source 'METAGENOMIC'; host 'Bos taurus' (cattle)
PRJNA942254	Proteles cristata	302418	33	WGS	METAGENOMIC		South Africa: Tswalu Kalahari Reserve	pubmed_metagenom_b1	37650612	Metagenomics uncovers dietary adaptations for chitin digestion in the gut microbiota of convergent myrmecophagous mammals.	10.1128/msystems.00388-23	mSystems	2023.0	YES	Metazoa	Chordata	Mammalia	Pholidota	Manidae	Smutsia	Smutsia temminckii	high	explicit	Biome label: 'gut metagenome'; Isolation source: 'feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA906625	Daphnia magna	35525	1	Hi-C	METAGENOMIC		Denmark: Lake Ring	pubmed_metagenom_b1	37638757	The hologenome of Daphnia magna reveals possible DNA methylation and microbiome-mediated evolution of the host genome.	10.1093/nar/gkad685	Nucleic acids research	2023.0	YES	Metazoa	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia magna	high	explicit	Biome label: 'invertebrate gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'Hi-C' (shotgun approach); host organism: 'Daphnia magna' (animal)
PRJNA641245	breed2		24	WGS	GENOMIC		India	pubmed_metagenom_b1	37630519	An Immobilized Form of a Blend of Essential Oils Improves the Density of Beneficial Bacteria, in Addition to Suppressing Pathogens in the Gut and Also Improves the Performance of Chicken Breeding.	10.3390/microorganisms11081960	Microorganisms	2023.0	YES								high	explicit	Paper title: 'An Immobilized Form of a Blend of Essential Oils Improves the Density of Beneficial Bacteria, in Addition to Suppressing Pathogens in the Gut and Also Improves the Performance of Chicken Breeding.' ENA study title: 'Metagenome or environmental sample from gut metagenome'. Biome label: 'gut metagenome'. Library_strategy: 'WGS'. Library_source: 'GENOMIC (METAGENOMIC)'.
PRJNA956982	Bos taurus	9913	19	WGS	METAGENOMIC			pubmed_metagenom_b1	37615434	Metagenomic and metabolomic analyses reveal the role of gut microbiome-associated metabolites in diarrhea calves.	10.1128/msystems.00582-23	mSystems	2023.0	YES	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	high	explicit	Isolation source: 'feces'; ENA study title: 'Metagenome or environmental sample from bovine gut metagenome'; Biome label: 'bovine gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'
PRJNA861719	Coturnix	9090	30	WGS	METAGENOMIC		China	pubmed_metagenom_b1	37499616	A catalog of microbial genes and metagenome-assembled genomes from the quail gut microbiome.	10.1016/j.psj.2023.102931	Poultry science	2023.0	YES	Metazoa	Chordata	Aves	Galliformes	Phasianidae		Coturnix	high	explicit	Isolation source(s): 'cecum; feces'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title explicitly states 'quail gut microbiome'; Biome label: 'gut metagenome'
PRJNA938989	Acinetobacter baumannii		41	WGS	METAGENOMIC		China	pubmed_metagenom_b1	37333647	Population response of intestinal microbiota to acute Vibrio alginolyticus infection in half-smooth tongue sole (Cynoglossus semilaevis).	10.3389/fmicb.2023.1178575	Frontiers in microbiology	2023.0	YES								high	explicit	isolation source: 'fish gut'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; paper title mentions 'intestinal microbiota'
PRJNA902833	Mus musculus	10090	32	WGS	METAGENOMIC		China:Kunming	pubmed_metagenom_b1	37258543	Gut microbiome determines therapeutic effects of OCA on NAFLD by modulating bile acid metabolism.	10.1038/s41522-023-00399-z	NPJ biofilms and microbiomes	2023.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	ENA study title: 'mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Sample title: 'mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title explicitly mentions 'Gut microbiome'
PRJNA916642	Hippocampus abdominalis	109274	12	POOLCLONE	METAGENOMIC		China:Yantai	pubmed_metagenom_b1	37215132	Edwardsiella piscicida infection reshapes the intestinal microbiome and metabolome of big-belly seahorses: mechanistic insights of synergistic actions of virulence factors.	10.3389/fimmu.2023.1135588	Frontiers in immunology	2023.0	YES	Metazoa	Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Hippocampus	Hippocampus abdominalis	high	explicit	ENA study title: 'gut metagenome'; Biome label: 'gut metagenome'; Sample titles: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'POOLCLONE' (shotgun sequencing); Host: Hippocampus abdominalis (big-belly seahorse, an animal); Paper title indicates intestinal microbiome analysis.
PRJNA784741	Mus musculus	10090	28	OTHER	METAGENOMIC		missing	pubmed_metagenom_b1	36927795	Fecal microbiota from MRL/lpr mice exacerbates pristane-induced lupus.	10.1186/s13075-023-03022-w	Arthritis research & therapy	2023.0	YES	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	high	explicit	Isolation source(s): feces; Biome label(s): mouse gut metagenome; library_source: METAGENOMIC; Paper title explicitly states 'Fecal microbiota'
PRJNA635664	Labiotermes labralis	370423	1	WGS	METAGENOMIC		French Guiana	pubmed_metagenom_b1	36922761	A holobiont approach towards polysaccharide degradation by the highly compartmentalised gut system of the soil-feeding higher termite Labiotermes labralis.	10.1186/s12864-023-09224-5	BMC genomics	2023.0	YES	Metazoa	Arthropoda	Insecta	Blattodea	Termitidae	Labiotermes	Labiotermes labralis	high	explicit	ENA study title: 'Metagenome or environmental sample from termite gut metagenome'; Biome label: 'termite gut metagenome'; Paper title explicitly mentions 'gut system'; library_source: METAGENOMIC; library_strategy: WGS
