study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJEB41787			human-gut	Denmark	107	WGS	ena_only									
PRJNA786358	Bos taurus	9913.0		China: Zhejiang, Hangzhou	2	WGS	pubmed	37087457.0	37087457							
PRJNA633309	Panthera tigris	9694.0		China	12	AMPLICON	pubmed	32793154.0	32793154							
PRJEB72433				Switzerland	295	WGS	ena_only									
PRJEB25764	homo sapiens			United Kingdom	109	WGS	pubmed	37231089.0	37231089							
PRJNA1305506	Myotis austroriparius	258936.0		USA:Florida	8	AMPLICON	pubmed	41304309.0	41304309							
PRJNA1126993	mouse1			China: Chengdu	10	AMPLICON	pubmed	39426981.0	39426981							
PRJEB81249	pig gut metagenome			Germany	917	AMPLICON	ena_only									
PRJEB84922	Mus musculus	10090.0		Germany:Braunschweig;Germany	471	AMPLICON	ena_only									
PRJNA730210	breedbr			India	24	WGS	pubmed	35783415.0	35783415	Effects of Dietary Antimicrobial Growth Promoters on Performance Parameters and Abundance and Diversity of Broiler Chicken Gut Microbiome and Selection of Antibiotic Resistance Genes.	Paul SS	Gargi M	Aves	Antimicrobial growth promoters (AGPs) are commonly used in broiler production. There is a huge societal concern around their use and their contribution to the proliferation of antimicrobial resistance (AMR) in food-producing animals and dissemination to humans or the environment. However, there is a paucity of comprehensive experimental data on their impact on poultry production and the AMR resistome. Here, we investigated the effect of five antimicrobial growth promoters (virginiamycin, chlortetracycline, bacitracin methyl disalicylate, lincomycin, and tylosin) used in the commercial broiler production in the Indian subcontinent and in the different parts of the world for three consecutive production cycles on performance variables and also the impact on gut bacteria, bacteriophage, and resistome profile using culture-independent approaches. There was no significant effect of AGPs on the cumulative growth or feed efficiency parameters at the end of the production cycles and cumulative mortality rates were also similar across groups. Many antibiotic resistance genes (ARGs) were ubiquitous in the chicken gut irrespective of AGP supplementation. In total, 62 ARGs from 15 antimicrobial classes were detected. Supplementation of AGPs influenced the selection of several classes of ARGs; however, this was not correlated necessarily with genes relevant to the AGP drug class; some AGPs favored the selection of ARGs related to antimicrobials not structurally related to the AGP. AGPs did not impact the gut bacterial community structure, including alpha or beta diversity significantly, with only 16-20 operational taxonomic units (OTUs) of bacteria being altered significantly. However, several AGPs significantly reduced the population density of some of the potential pathogenic genera of bacteria, such as Escherichia coli. Chlortetracycline increased the abundance of Escherichia phage, whereas other AGPs did not influence the abundance of bacteriophage significantly. Considering the evidence that AGPs used in poultry production can select for resistance to more than one class of antimicrobial resistance, and the fact that their effect on performance is not significant, their use needs to be reduced and there is a need to monitor the spread of ARGs in broiler chicken farms.		Frontiers in microbiology
PRJNA769968	Homo sapiens	9606.0		China: Weihai	222	WGS	ena_only									
PRJNA1390420	Mus musculus	10090.0		China: Wuhan	15	WGS	pubmed	41828538.0	41828538	Enzymatic Synergy-Driven Biotransformation Generates a Postbiotic-Rich Functional Matrix That Reprograms Gut Microbiota Metabolic Pathways Under Stress Conditions.	Chen J	Liu Z	Mammalia	The physiological efficacy of plant-based matrices is often limited because bioactive compounds are sequestered within complex lignocellulosic architectures, restricting their release and downstream activity. Fermentation-driven enzymatic biotransformation can overcome these structural barriers; however, the mechanisms by which fermentation-derived, non-viable functional ingredients (postbiotics) confer benefits remain incompletely defined. Here, we examined whether a postbiotic-rich, co-fermented plant matrix enhances host resilience under metabolic stress and whether such effects are accompanied by a remodeling of gut microbial functional capacity. A functional plant matrix was produced by solid-state co-fermentation using two Lactobacillus plantarum strains selected for complementary lignocellulolytic profiles. Untargeted metabolomics and deep shotgun metagenomic sequencing were integrated with a hydrocortisone-induced murine metabolic stress model to quantify substrate remodeling, host neuroendocrine/behavioral outcomes, and microbiome functional reprogramming. Co-fermentation markedly remodeled the phytochemical landscape, increasing extractable flavonoids and generating distinct metabolite clusters. In vivo, administration of the postbiotic-rich matrix partially normalized stress-responsive neuroendocrine markers (ACTH, TRH, and testosterone) and improved behavioral outcomes in open-field and forced swim assays. These systemic changes were paralleled by a coordinated shift in microbial functional potential, including the enrichment of carbohydrate-active enzyme (CAZyme) families involved in complex polysaccharide utilization (e.g., AA9, GH129, CE14) and attenuation of phosphotransferase system modules and cytochrome P450-related functions. Enzymatic synergy-driven biotransformation yields a postbiotic-rich functional matrix that is associated with a selective remodeling of gut microbiome metabolic potential under stress and concomitant improvement in host physiological resilience. This study underscores microbial functional remodeling as a critical mechanistic interface linking fermentation-modified substrates to host physiological recovery, providing a molecular framework for the development of targeted postbiotic interventions.		International journal of molecular sciences
PRJDB9917	Vibrio alginolyticus				2	WGS	pubmed	35301363.0	35301363	Gut microbiota analysis of Blenniidae fishes including an algae-eating fish and clear boundary formation among isolated Vibrio strains.	Yoshida MA	Kawamukai M	Actinopterygii	Some marine fishes are algae-feeding, and the microorganisms in their digestive tracts produce carbohydrate hydrolyzing enzymes such as agarose and fucosidase, which are potentially interesting resource for new functional enzymes. The purpose of this study was to establish a method for identifying and utilizing characteristic bacteria from the intestines of two algae-eating fish species: Andamia tetradactylus, which exclusively eats algae on the rock surface, and stellar rockskipper Entomacrodus stellifer, which feeds on both algae and invertebrates. We tested the species composition of the intestinal bacterial flora and found that Proteobacteria were commonly found both in species as in the common gut communities of marine fish, whereas Spirochaetes and Tenericutes occupied the flora of A. tetradactylus. We then performed anaerobic and aerobic cultures and isolated 34 and 44 strains including 48 strains belonged to Vibrio species from A. tetradactylus and E. stellifer. We observed that some Vibrio strains formed a clear boundary to avoid contacting other strains of bacteria. Whole-genome sequencing of such two Vibrio alginolyticus strains revealed two cyclic chromosomes commonly found in the genome of Vibrio species, and some unique genes encoding alginate lyase, chitinases, and type I-F CRISPR-associated endoribonuclease for the first time in Vibrio alginolyticus.		Scientific reports
PRJNA597371	Homo sapiens	9606.0		China: Haikou	15	WGS	pubmed	34193290.0	34193290							
PRJEB46212	feces metagenome			Spain	48	WGS	ena_only									
PRJNA13342	Gallus gallus				7	WGS	pubmed	39983259.0	39983259	Heat stress in chickens induces temporal changes in the cecal microbiome concomitant with host enteric serotonin responses.	Lyte JM	Lyte M	Aves	Heat stress is a potent modulator of the avian neuroendocrine system with concomitant impact on the gut microbiome. As an interkingdom signaling molecule, serotonin is largely derived from the gut and found in large concentrations in the avian gut lumen. Despite the role of serotonin in animal stress physiology and related host-microbe interactions, whether heat stress alters avian enteric concentrations of serotonin is unknown. As such, the present study sought to determine whether acute or chronic exposure to moderate heat stress alters both enteric serotonin concentrations and the microbiome in the chicken gut. Chickens were, or were not, subjected to an acute (1 day), repeated acute (2 days) or chronic (6 days) moderate ambient cyclic heat stress (12h per day, 31°C). Enteric concentrations of serotonin were significantly decreased in the acute heat stress group (P < 0.05), and rebounded to become elevated in the chronic heat stress group (P < 0.05). Shotgun metagenomic sequencing revealed heat stress caused both functional and taxonomic changes in the cecal microbiome. Abundances of bacterial taxa that are known to interact with the host via the serotonergic system, including Lactobacillus spp., and Bifidobacterium spp., were significantly (P < 0.05) altered by heat stress. As these findings demonstrate that heat stress can alter serotonin concentrations in the chicken intestinal tract, with distinct outcomes depending on duration of the stressor, serotonergic signaling may serve as potential leverageable point of intervention in host-microbe interactions including foodborne pathogen colonization in the chicken gut. In addition, this study provides novel insight into the impact of acute and chronic heat stress on the avian microbiome, and its relationship to stress-driven changes in the enteric serotonergic system.		Poultry science
PRJEB31266	Bos taurus	9913.0	rumen	United Kingdom	242	WGS	pubmed	32473013.0	32473013							
PRJNA271618	Papio cynocephalus	9556.0		Kenya	48	WGS	pubmed	25774601.0	25774601							
PRJNA1192041	rat			China: Sichuan	15	WGS	pubmed	40335921.0	40335921							
PRJNA1332038	Gallus gallus	9031.0			1	WGS	ena_only									
PRJEB15296				China	3	WGS	pubmed	28392784.0	28392784							
PRJNA917545	mouse			China: Changchun	16	AMPLICON	pubmed	37788279.0	37788279							
PRJDB37123	Mus	10088.0		missing: data agreement established pre-2023	20	WGS	ena_only									
PRJNA946412	Felis catus	9685.0		New Zealand:Palmerston North	20	WGS	ena_only									
PRJNA1393111	Ictalurus punctatus	7998.0		USA:Auburn	25	WGS	pubmed	41910137.0	41910137							
PRJNA434147	Hypomesus transpacificus	137520.0		USA: California, Tracy	5	WGS	ena_only									
PRJNA540192	Caenorhabditis elegans	6239.0		USA:Texas,Houston	261	AMPLICON	pubmed	34048707.0	34048707							
PRJNA766255	Sus scrofa	9823.0		China:jinhua	70	AMPLICON	pubmed	38868506.0	38868506							
PRJNA575288	Sus scrofa ussuricus	490583.0		missing	15	WGS	ena_only									
PRJNA488302	Sus scrofa	9823.0		China: Jiangxi	130	WGS	ena_only									
PRJNA471402	Sus scrofa domesticus	9825.0		Austria:Tulln	39	WGS	ena_only									
PRJEB4370	Mus musculus	10090.0		USA	433	WGS	ena_only									
PRJEB24891	metagenomes				43	AMPLICON	pubmed	33962692.0	33962692	Iron status influences non-alcoholic fatty liver disease in obesity through the gut microbiome.	Mayneris-Perxachs J	Fernández-Real JM	Mammalia	BACKGROUND: The gut microbiome and iron status are known to play a role in the pathophysiology of non-alcoholic fatty liver disease (NAFLD), although their complex interaction remains unclear. RESULTS: Here, we applied an integrative systems medicine approach (faecal metagenomics, plasma and urine metabolomics, hepatic transcriptomics) in 2 well-characterised human cohorts of subjects with obesity (discovery n = 49 and validation n = 628) and an independent cohort formed by both individuals with and without obesity (n = 130), combined with in vitro and animal models. Serum ferritin levels, as a markers of liver iron stores, were positively associated with liver fat accumulation in parallel with lower gut microbial gene richness, composition and functionality. Specifically, ferritin had strong negative associations with the Pasteurellaceae, Leuconostocaceae and Micrococcaea families. It also had consistent negative associations with several Veillonella, Bifidobacterium and Lactobacillus species, but positive associations with Bacteroides and Prevotella spp. Notably, the ferritin-associated bacterial families had a strong correlation with iron-related liver genes. In addition, several bacterial functions related to iron metabolism (transport, chelation, heme and siderophore biosynthesis) and NAFLD (fatty acid and glutathione biosynthesis) were also associated with the host serum ferritin levels. This iron-related microbiome signature was linked to a transcriptomic and metabolomic signature associated to the degree of liver fat accumulation through hepatic glucose metabolism. In particular, we found a consistent association among serum ferritin, Pasteurellaceae and Micrococcacea families, bacterial functions involved in histidine transport, the host circulating histidine levels and the liver expression of GYS2 and SEC24B. Serum ferritin was also related to bacterial glycine transporters, the host glycine serum levels and the liver expression of glycine transporters. The transcriptomic findings were replicated in human primary hepatocytes, where iron supplementation also led to triglycerides accumulation and induced the expression of lipid and iron metabolism genes in synergy with palmitic acid. We further explored the direct impact of the microbiome on iron metabolism and liver fact accumulation through transplantation of faecal microbiota into recipient's mice. In line with the results in humans, transplantation from 'high ferritin donors' resulted in alterations in several genes related to iron metabolism and fatty acid accumulation in recipient's mice. CONCLUSIONS: Altogether, a significant interplay among the gut microbiome, iron status and liver fat accumulation is revealed, with potential significance for target therapies. Video abstract.		Microbiome
PRJNA688069	Gallus gallus				33	WGS	ena_only									
PRJNA1070846	rats			China:Hohhot	41	WGS	ena_only									
PRJNA762510	Salmo salar	8030.0		Norway: Aas	96	AMPLICON	pubmed	41700855.0	41700855	Genotypic characterization of gut isolates from Atlantic salmon fry reveals beneficial microbes with biotechnological potential.	Rojas Calderón D	La Rosa SL	Actinopterygii	Aquaculture is a rapidly growing industry, with Atlantic salmon being one of the most intensively farmed food-producing fish in the world. While the gut microbiota is recognized to play an important role in the health and performance of various fish, knowledge of its functional capacities in salmon is gradually expanding, facilitating a better understanding of host-microbiome interactions. Nevertheless, data on the gut microbiota of juvenile salmon remain limited. Here, we isolated and genotypically characterized 11 bacteria obtained from the gut content of Atlantic salmon fry. Whole-genome sequencing using long-read Nanopore technology and functional annotation revealed their extensive metabolic versatility, including a broad array of carbohydrate-active enzymes, proteases, lipases, and (poly)phenol-degrading enzymes potentially contributing to the metabolism of feed-derived components. Additionally, all isolates possessed genomic potential for producing beneficial metabolites, including the short-chain fatty acids acetate and propionate, as well as several B vitamins and vitamin K2. Genes encoding bacteriocins and other secondary metabolites were identified, suggesting niche competitiveness against intestinal pathogens. Among the isolates, we further show that Lactococcus raffinolactis ASF-5 has the potential to selectively remove indigestible oligosaccharides from plant-based feeds. Indeed, this isolate grew on raffinose, an oligosaccharide associated with anti-nutritional effects in salmon. Using AlphaFold 3 models, we show that this capability is supported by a GH36 α-galactosidase and two GH32 sucrases, which can act cooperatively in the complete hydrolysis of raffinose. Finally, L. raffinolactis ASF-5 had a favorable safety profile for use as a feed supplement, showing susceptibility to all tested antibiotics and lacking hemolytic activity.IMPORTANCEAlthough metataxonomy studies have enhanced our knowledge of the salmon gut microbiota, the functional potential of bacteria from this ecosystem remains underexplored. Well-characterized bacterial isolates are crucial to advance the growing salmon aquaculture field, allowing insights into nutrient metabolism, informing the development of beneficial interventions, and helping in identifying enzymes to improve feed digestibility. This study highlights the functional capacity of 11 bacteria isolated from the gut of salmon fry in contributing to the metabolism of carbohydrates, proteins, lipids, fatty acids, and (poly)phenols from feed, potentially increasing nutrient availability for the host or providing beneficial metabolites, including short-chain fatty acids, vitamins, and bacteriocins. Importantly, Lactococcus raffinolactis ASF-5 could be used to remove indigestible sugars like raffinose from plant meals. Identifying such beneficial, host-specific bacteria opens new opportunities for developing customized feed supplements or enzymes that enhance feed digestibility, to promote the health and welfare of Atlantic salmon, and enhance the economic sustainability of aquaculture.		Applied and environmental microbiology
PRJEB81427	chicken gut metagenome			Italy	1000	AMPLICON	ena_only									
PRJEB1220				Denmark	370	WGS	pubmed	27388460.0	27388460							
PRJEB83251	Mus musculus	10090.0	Feces	USA	26	WGS	ena_only									
PRJEB23147	Homo sapiens				930	WGS	ena_only									
PRJEB86776	Bacteroides sp. D2			France	12	WGS	pubmed	40819039.0	40819039	Structure-dependent degradation of milk oligosaccharides by newly isolated intestinal commensal bacterial strains from suckling piglets and rabbits.	Rumeau M	Martín R	Mammalia	BACKGROUND: Mammalian milk oligosaccharides serve as the first natural prebiotics for newborns, promoting the development of a beneficial gut microbiota. The ability of bacteria to use these complex sugars depends on their structure, but data are limited to bacteria isolated from newborn humans. This study aims to investigate in vitro the functional relationship between the structural variability of milk oligosaccharides and the metabolic capacities of newly intestinal commensal bacteria isolated from suckling rabbits and piglets. RESULTS: A total of 240 anaerobic intestinal bacterial strains were isolated from suckling piglets and rabbits, and 9 strains were cultivated in the presence of structurally different milk oligosaccharides: lacto-N-tetraose, 2'-fucosyllactose, and 3'-sialyllactose or 6'-sialyllactose. Five strains, belonging to Bacteroides fragilis, Bacteroides thetaiotaomicron, Bacteroides sp. D2, Bacteroides sp. 3_1_33FAA and Phocaeicola vulgatus were able to utilize milk oligosaccharides. Growth curves revealed that glucose supported faster growth, while, leading to a lower final biomass compared to milk oligosaccharides. Both the growth rate and the final bacterial biomass varied depending on the milk oligosaccharide structure, with higher final biomass reached with 2'-fucosyllactose. The consumption rates of milk oligosaccharides exceeded 40% for all oligosaccharides in B. fragilis, Bacteroides sp. 3_1_33FAA and P. vulgatus strains. Conversely, B. thetaiotaomicron with 6'-sialyllactose and Bacteroides sp. D2 strains for each milk oligosaccharide displayed a consumption rate below 40%. Milk oligosaccharide fermentation generated a more diverse metabolome compared to glucose. Utilization of milk oligosaccharides increased the production of propionate, isobutyrate, isovalerate, 2-methylbutyrate and 1,2-propanediol. Remarkably, fermentation of 2'-fucosyllactose resulted in substantial 1,2-propanediol production. Whole genome sequencing of the bacterial strains revealed the presence of diverse glycoside hydrolase in the strains capable of metabolizing milk oligosaccharides. CONCLUSIONS: This study demonstrates the capacity of diverse intestinal commensal bacteria from suckling rabbits and piglets to ferment diverse milk oligosaccharide structures, revealing species-specific and milk oligosaccharide structure-dependent metabolization profiles. These findings highlight the potential application of milk oligosaccharides as prebiotic supplements to support gut health in farm animals.		BMC microbiology
PRJNA556790	Bird			China: Henan	103	WGS	pubmed	32122398.0	32122398	Metagenomic analysis reveals the microbiome and resistome in migratory birds.	Cao J	Gao GF	Aves	BACKGROUND: Antibiotic-resistant pathogens pose high risks to human and animal health worldwide. In recent years, the role of gut microbiota as a reservoir of antibiotic resistance genes (ARGs) in humans and animals has been increasingly investigated. However, the structure and function of the gut bacterial community, as well as the ARGs they carry in migratory birds remain unknown. RESULTS: Here, we collected samples from migratory bird species and their associated environments and characterized their gut microbiomes and resistomes using shotgun metagenomic sequencing. We found that migratory birds vary greatly in gut bacterial composition but are similar in their microbiome metabolism and function. Birds from the same environment tend to harbor similar bacterial communities. In total, 1030 different ARGs (202 resistance types) conferring resistance to tetracycline, aminoglycoside, β-lactam, sulphonamide, chloramphenicol, macrolide-lincosamide-streptogramin (MLS), and quinolone are identified. Procrustes analysis indicated that microbial community structure is not correlated with the resistome in migratory birds. Moreover, metagenomic assembly-based host tracking revealed that most of the ARG-carrying contigs originate from Proteobacteria. Co-occurrence patterns revealed by network analysis showed that emrD, emrY, ANT(6)-Ia, and tetO, the hubs of ARG type network, are indicators of other co-occurring ARG types. Compared with the microbiomes and resistomes in the environment, migratory birds harbor a lower phylogenetic diversity but have more antibiotic resistance proteins. Interestingly, we found that the mcr-1 resistance gene is widespread among different birds, accounting for 50% of the total samples. Meanwhile, a large number of novel β-lactamase genes are also reconstructed from bird metagenomic assemblies based on fARGene software. CONCLUSIONS: Our study provides a comprehensive overview of the diversity and abundance of ARGs in migratory birds and highlights the possible role of migratory birds as ARG disseminators into the environment. Video abstract.		Microbiome
PRJNA527177	Human intestine			South Africa: Bushman Rock Shelter, Limpopo Province	5	WGS	pubmed	32375874.0	32375874							
PRJNA608629	Sus scrofa	9823.0		Spain:Girona	1000	AMPLICON	pubmed	37255458.0	37255458	Copy Number Variation on ABCC2-DNMBP Loci Affects the Diversity and Composition of the Fecal Microbiota in Pigs.	Ramayo-Caldas Y	Ballester M	Mammalia	Genetic variation in the pig genome partially modulates the composition of porcine gut microbial communities. Previous studies have been focused on the association between single nucleotide polymorphisms (SNPs) and the gut microbiota, but little is known about the relationship between structural variants and fecal microbial traits. The main goal of this study was to explore the association between porcine genome copy number variants (CNVs) and the diversity and composition of pig fecal microbiota. For this purpose, we used whole-genome sequencing data to undertake a comprehensive identification of CNVs followed by a genome-wide association analysis between the estimated CNV status and the fecal bacterial diversity in a commercial Duroc pig population. A CNV predicted as gain (DUP) partially harboring ABCC2-DNMBP loci was associated with richness (P = 5.41 × 10-5, false discovery rate [FDR] = 0.022) and Shannon α-diversity (P = 1.42 × 10-4, FDR = 0.057). The in silico predicted gain of copies was validated by real-time quantitative PCR (qPCR), and its segregation, and positive association with the richness and Shannon α-diversity of the porcine fecal bacterial ecosystem was confirmed in an unrelated F1 (Duroc × Iberian) cross. Our results advise the relevance of considering the role of host-genome structural variants as potential modulators of microbial ecosystems and suggest the ABCC2-DNMBP CNV as a host-genetic factor for the modulation of the diversity and composition of the fecal microbiota in pigs. IMPORTANCE A better understanding of the environmental and host factors modulating gut microbiomes is a topic of greatest interest. Recent evidence suggests that genetic variation in the pig genome partially controls the composition of porcine gut microbiota. However, since previous studies have been focused on the association between single nucleotide polymorphisms and the fecal microbiota, little is known about the relationship between other sources of genetic variation, like the structural variants and microbial traits. Here, we identified, experimentally validated, and replicated in an independent population a positive link between the gain of copies of ABCC2-DNMBP loci and the diversity and composition of pig fecal microbiota. Our results advise the relevance of considering the role of host-genome structural variants as putative modulators of microbial ecosystems and open the possibility of implementing novel holobiont-based management strategies in breeding programs for the simultaneous improvement of microbial traits and host performance.		Microbiology spectrum
PRJNA1033150	Bos taurus	9913.0		China:Zhangye	12	OTHER	pubmed	38684965.0	38684965							
PRJEB80731	Diceros bicornis			Netherlands	59	AMPLICON	pubmed	40510676.0	40510676							
PRJNA767410	Mus musculus				17	RNA-Seq	pubmed	39331712.0	39331712							
PRJDB20360	Homo sapiens	9606.0		Japan	490	WGS	ena_only									
PRJNA807368	Sus scrofa domesticus	9825.0		China: Bengbu	12	WGS	pubmed	35464928.0	35464928							
PRJNA1227156	Gallus gallus	9031.0		Czechia	26	WGS	ena_only									
PRJEB66211				Canada	28	WGS	ena_only									
PRJEB2778				United States	12	WGS	ena_only									
PRJNA579226	Homo sapiens	9606.0		China	1	RNA-Seq	pubmed	33841399.0	33841399							
PRJNA504846	Mus musculus	10090.0		USA:Providence,RI	40	RNA-Seq	pubmed	31523007.0	31523007							
PRJNA1148167	Mus musculus	10090.0		USA: Princeton, NJ	84	AMPLICON	pubmed	39947133.0	39947133							
PRJNA1184454	calves 1			China:Inner Mongolia,Hohhot	44	WGS	pubmed	41466331.0	41466331							
PRJEB89232	Sus scrofa domesticus	9825.0	Small intestine	Spain	28	WGS	ena_only									
PRJNA872265	Ailuropoda melanoleuca	9646.0		China: Chengdu	119	WGS	ena_only									
PRJNA390551	Bos taurus	9913.0		USA: SD, Brookings	30	OTHER	pubmed	28947833.0	28947833							
PRJEB26585				USA	48	WGS	ena_only									
PRJEB15095					24	WGS	pubmed	28182951.0	28182951							
PRJNA693262	Equus_burchelli_boehmi;Equus burchelli boehmi			Israel: The Zoological Center Tel Aviv-Ramat Gan	101	AMPLICON	pubmed	34903850.0	34903850							
PRJNA400119	Sus scrofa	9823.0		China:Ninghe,TianJin	8	WGS	ena_only									
PRJNA750495	missing			Mexico: Morelia, Michoacan	74	AMPLICON	pubmed	35282279.0	35282279							
PRJEB79102	Canis aureus			Israel	17	OTHER	pubmed	39945541.0	39945541							
PRJNA213743	CD-1 mouse			Charles River Laboratories	1	WGS	pubmed	33627510.0	33627510							
PRJEB102289	chicken gut metagenome			United Kingdom	72	WGS	ena_only									
PRJEB55812	mouse metagenome				15	WGS	pubmed	36472670.0	36472670	Microbiota and environmental health monitoring of mouse colonies by metagenomic shotgun sequencing.	Lupini L	Sabbioni S	Mammalia	Metagenomic next-generation sequencing (mNGS) allows the monitoring of microbiota composition of murine colonies employed for scientific purposes in a single test by assessing the composition of gut microbiome and the detection of pathogens from fecal pellets. In this study, we tested the potential use of mNGS for monitoring both microbiota composition and the presence of pathogens through Environmental Health Monitoring, by using exhaust dust collection filters derived from individually ventilated cages (IVC) systems.mNGS analysis was performed on nucleic acids isolated from filters collecting air from the exhaust of: (1) cages with mice housed in a non-pathogen free facility; (2) animal-free cages with clean chow and bedding from the same facility; (3) cages housing mice from a specific-pathogen free (SPF) facility. mNGS results revealed correspondence between microbiome composition from fecal pellets and filter, including pathogenic bacteria (Helicobacter hepaticus, Helicobacter typhlonius, Chlamydia muridarum, Rodentibacter pneumotropicus, Citrobacter rodentium), intestinal protozoa (Tritrichomonas muris, Spironucleus muris) nematoda (Aspiculuris tetraptera) and eukaryotic parasites (Myocoptes musculinus), present in the colony. Entamoeba muris and Syphacia obvelata were detected in fecal pellets but not in filter. The animal free exhaust dust filter, exposed to clean cages (no mice) placed in the IVC after removal of all mice, exhibited the presence of the same pathogens due to contaminated connecting pipes, confirming the sensitivity of the approach. Conversely, the filter from SPF colony revealed the absence of pathogens.The current use of exhaust dust collection filters in health surveillance requires multiple molecular tests to identify specific pathogens and does not provide information on the colony microbiome. This work provides the proof-of-principle that assaying exhaust dust collection filters by mNGS for microbiota monitoring of laboratory mice is feasible. In its daily application, results suggest the usefulness of the test in SPF facilities, where pathogenic micro-organisms are expected to be absent. mNGS analysis of exhaust dust collection filters allows the analysis of multiple cages, reducing the number of tests required for pathogen detection and corresponding costs, and avoiding the use of sentinel mice.		World journal of microbiology & biotechnology
PRJNA1008639	mouse_1;mouse 1			China: Beijing	6	WGS	ena_only									
PRJEB77276	Mus musculus	10090.0		Spain	481	WGS	ena_only									
PRJNA1002411	Bos taurus	9913.0		USA: Michigan	140	WGS	ena_only									
PRJDB18854	Homo sapiens	9606.0		Japan:Yamanashi, Chuo	112	WGS	ena_only									
PRJNA293625	globefish			China:Guangdong	4	WGS	ena_only									
PRJNA1069780	Gallus gallus	9031.0		China: Sichuan	40	WGS	pubmed	40895792.0	40895792							
PRJNA765714	Lemur catta	9447.0		USA: Duke Lemur Center, Durham NC	392	AMPLICON	pubmed	34598739.0	34598739	Antibiotics and fecal transfaunation differentially affect microbiota recovery, associations, and antibiotic resistance in lemur guts.	Bornbusch SL	Drea CM	Mammalia	BACKGROUND: Antibiotics alter the diversity, structure, and dynamics of host-associated microbial consortia, including via development of antibiotic resistance; however, patterns of recovery from microbial imbalances and methods to mitigate associated negative effects remain poorly understood, particularly outside of human-clinical and model-rodent studies that focus on outcome over process. To improve conceptual understanding of host-microbe symbiosis in more naturalistic contexts, we applied an ecological framework to a non-traditional, strepsirrhine primate model via long-term, multi-faceted study of microbial community structure before, during, and following two experimental manipulations. Specifically, we administered a broad-spectrum antibiotic, either alone or with subsequent fecal transfaunation, to healthy, male ring-tailed lemurs (Lemur catta), then used 16S rRNA and shotgun metagenomic sequencing to longitudinally track the diversity, composition, associations, and resistomes of their gut microbiota both within and across baseline, treatment, and recovery phases. RESULTS: Antibiotic treatment resulted in a drastic decline in microbial diversity and a dramatic alteration in community composition. Whereas microbial diversity recovered rapidly regardless of experimental group, patterns of microbial community composition reflected long-term instability following treatment with antibiotics alone, a pattern that was attenuated by fecal transfaunation. Covariation analysis revealed that certain taxa dominated bacterial associations, representing potential keystone species in lemur gut microbiota. Antibiotic resistance genes, which were universally present, including in lemurs that had never been administered antibiotics, varied across individuals and treatment groups. CONCLUSIONS: Long-term, integrated study post antibiotic-induced microbial imbalance revealed differential, metric-dependent evidence of recovery, with beneficial effects of fecal transfaunation on recovering community composition, and potentially negative consequences to lemur resistomes. Beyond providing new perspectives on the dynamics that govern host-associated communities, particularly in the Anthropocene era, our holistic study in an endangered species is a first step in addressing the recent, interdisciplinary calls for greater integration of microbiome science into animal care and conservation.		Animal microbiome
PRJEB42384	feces metagenome				73	WGS	ena_only									
PRJEB59350				Finland	134	WGS	ena_only									
PRJDB14971	Mus musculus	10090.0		Japan	34	WGS	ena_only									
PRJNA638426	Sus scrofa	9823.0		USA: Ames, IA	984	AMPLICON	ena_only									
PRJNA845803	Grainfed Angus 1			USA: Queenstown, Maryland	12	WGS	pubmed	40849482.0	40849482							
PRJNA932541	Hydropotes inermis	9883.0		Korea:hoengseong	51	WGS	ena_only									
PRJDB35189	Homo sapiens	9606.0		missing: data agreement established pre-2023	88	WGS	ena_only									
PRJNA637783	Fermented food			China: Haikou	1	WGS	pubmed	34193290.0	34193290							
PRJEB90218	Mus musculus	10090.0	UBERON:feces	USA;USA:CA	327	WGS	ena_only									
PRJNA1232341	Sus	9822.0		missing	32	WGS	ena_only									
PRJEB86259	Gallus gallus	9031.0	Caecum right	Austria	100	WGS	ena_only									
PRJNA1119053	Mus musculus				69	WGS	pubmed	40059174.0	40059174							
PRJNA484151	human metagenome			USA:Ohio	18	OTHER	pubmed	31379808.0	31379808							
PRJEB106128	feces metagenome				1000	WGS	ena_only									
PRJNA1060484	fish gut metagenome			China	1	WGS	ena_only									
PRJEB76956	Mus musculus			USA	110	AMPLICON	pubmed	41576933.0	41576933							
PRJNA640717	not applicable-XM19C1			China: Xiamen	10	WGS	ena_only									
PRJNA1328827	Felis catus			USA: Eugene	80	AMPLICON	ena_only									
PRJNA473126	Homo sapiens	9606.0		USA:Saint Louis	402	WGS	pubmed	38882494.0	38882494							
PRJNA692830	Homo sapiens	9606.0		Sweden	24	WGS	ena_only									
